source_table,chapter,route_type,prtp_pct,vehicle_category,specification,ghg,air_pollutants_exhaust,air_pollutants_abrasion,infra_and_vehicles,energy_supply,total,noise_included,unit
Table 13,5,rural,0,Public_bus,Diesel,95.41,12.83,1.01,26.22,33.25,168.72,no,EUR-cent_2025/vehicle_km
Table 13,5,rural,0,Coach,Diesel,71.18,8.97,0.87,26.01,22.39,129.42,no,EUR-cent_2025/vehicle_km
Table 13,5,rural,0,Passenger_train_LD,Electric,0.0,0.0,6.24,175.32,827.05,1008.6,no,EUR-cent_2025/vehicle_km
Table 13,5,rural,0,Passenger_train_LT,Weighted_av.,52.69,20.41,3.15,48.36,338.8,463.43,no,EUR-cent_2025/vehicle_km
Table 13,5,rural,0,Freight_train,Weighted_av.,110.16,49.8,7.38,329.67,849.85,1346.87,no,EUR-cent_2025/vehicle_km
Table 14,5,rural,1,Car,Petrol,5.02,0.4,0.14,3.55,2.71,11.81,no,EUR-cent_2025/vehicle_km
Table 14,5,rural,1,Car,Diesel,5.63,2.05,0.14,3.64,2.1,13.56,no,EUR-cent_2025/vehicle_km
Table 14,5,rural,1,Car,Electric,0.0,0.0,0.14,6.34,3.85,10.32,no,EUR-cent_2025/vehicle_km
Table 14,5,rural,1,Small_motorcycle,Diesel,2.27,2.38,0.04,1.59,1.05,7.33,no,EUR-cent_2025/vehicle_km
Table 14,5,rural,1,Motorcycle,Petrol,3.94,0.71,0.04,2.48,1.87,9.04,no,EUR-cent_2025/vehicle_km
Table 14,5,rural,1,LCV,Diesel,7.85,3.01,0.14,4.16,3.19,18.35,no,EUR-cent_2025/vehicle_km
Table 14,5,rural,1,LCV,Petrol,5.86,0.7,0.14,4.16,3.1,13.96,no,EUR-cent_2025/vehicle_km
Table 14,5,rural,1,LCV,Electric,0.0,0.0,0.14,7.61,5.02,12.77,no,EUR-cent_2025/vehicle_km
Table 14,5,rural,1,HGV_<7.5t,Diesel,12.75,5.5,0.77,4.16,3.19,26.37,no,EUR-cent_2025/vehicle_km
Table 14,5,rural,1,HGV_7.5-14t,Diesel,14.87,5.37,0.77,5.64,4.27,30.92,no,EUR-cent_2025/vehicle_km
Table 14,5,rural,1,HGV_14-28t,Diesel,23.14,6.72,0.77,14.93,9.6,55.16,no,EUR-cent_2025/vehicle_km
Table 14,5,rural,1,HGV_28-40t,Diesel,31.18,4.82,0.77,24.8,10.69,72.25,no,EUR-cent_2025/vehicle_km
Table 14,5,rural,1,Public_bus,Diesel,33.15,12.83,1.01,11.25,14.09,72.33,no,EUR-cent_2025/vehicle_km
