source_table,chapter,context,sector,surroundings,emission_height_m,substance,impact_component,value_factor,unit
Table 3,3,stationary_combustion,industry,town,20-100,NMVOC,health,535,EUR_2025/t
Table 3,3,stationary_combustion,industry,town,20-100,NH3,health,33200,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,unknown,0-100,PM2.5,health,130300,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,unknown,0-100,PMcoarse,health,1690,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,unknown,0-100,PM10,health,91700,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,unknown,0-100,NOx,health,39400,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,unknown,0-100,SO2,health,35900,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,unknown,0-100,NMVOC,health,530,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,unknown,0-100,NH3,health,33100,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,city,0-20,PM2.5,health,233200,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,city,0-20,PMcoarse,health,3030,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,city,0-20,PM10,health,164100,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,city,0-20,NOx,health,39400,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,city,0-20,SO2,health,35900,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,city,0-20,NMVOC,health,530,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,city,0-20,NH3,health,33100,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,city,20-100,PM2.5,health,131600,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,city,20-100,PMcoarse,health,1710,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,city,20-100,PM10,health,92600,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,city,20-100,NOx,health,39400,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,city,20-100,SO2,health,35900,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,city,20-100,NMVOC,health,530,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,city,20-100,NH3,health,33100,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,town,0-20,PM2.5,health,161500,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,town,0-20,PMcoarse,health,2100,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,town,0-20,PM10,health,113700,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,town,0-20,NOx,health,39400,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,town,0-20,SO2,health,35900,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,town,0-20,NMVOC,health,530,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,town,0-20,NH3,health,33100,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,town,20-100,PM2.5,health,131600,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,town,20-100,PMcoarse,health,1710,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,town,20-100,PM10,health,92600,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,town,20-100,NOx,health,39400,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,town,20-100,SO2,health,35900,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,town,20-100,NMVOC,health,530,EUR_2025/t
Table 3,3,stationary_combustion,small_scale,town,20-100,NH3,health,33100,EUR_2025/t
Table 4,3,road_traffic,transport,unknown,0-3,PM2.5,health,125900,EUR_2025/t
Table 4,3,road_traffic,transport,unknown,0-3,PMcoarse,health,1600,EUR_2025/t
Table 4,3,road_traffic,transport,unknown,0-3,PM10_abrasion,health,63800,EUR_2025/t
Table 4,3,road_traffic,transport,unknown,0-3,NOx,health,37100,EUR_2025/t
Table 4,3,road_traffic,transport,unknown,0-3,SO2,health,34600,EUR_2025/t
Table 4,3,road_traffic,transport,unknown,0-3,NMVOC,health,525,EUR_2025/t
Table 4,3,road_traffic,transport,unknown,0-3,NH3,health,32100,EUR_2025/t
Table 4,3,road_traffic,transport,urban,0-3,PM2.5,health,511600,EUR_2025/t
Table 4,3,road_traffic,transport,urban,0-3,PMcoarse,health,7800,EUR_2025/t
Table 4,3,road_traffic,transport,urban,0-3,PM10_abrasion,health,259700,EUR_2025/t
Table 4,3,road_traffic,transport,urban,0-3,NOx,health,37100,EUR_2025/t
Table 4,3,road_traffic,transport,urban,0-3,SO2,health,34600,EUR_2025/t
Table 4,3,road_traffic,transport,urban,0-3,NMVOC,health,525,EUR_2025/t
Table 4,3,road_traffic,transport,urban,0-3,NH3,health,32100,EUR_2025/t
Table 4,3,road_traffic,transport,suburban,0-3,PM2.5,health,147500,EUR_2025/t
Table 4,3,road_traffic,transport,suburban,0-3,PMcoarse,health,1940,EUR_2025/t
Table 4,3,road_traffic,transport,suburban,0-3,PM10_abrasion,health,74700,EUR_2025/t
Table 4,3,road_traffic,transport,suburban,0-3,NOx,health,37100,EUR_2025/t
